challenge,砂を移動させる,2017-12-26,"1．好きな砂を調達する
2．砂の山を作る
3．手で砂をすくい、別の場所へ移す
4．作業を繰り返し、すべての砂を別の場所へ移す",none
image,湯気を眺めたり,2018-01-14,"湯気に光をあてて、揺れている様子を眺める",none
music,ユーフォニアムの練習をしたり、,2018-01-14,"ユーフォニアムを演奏するために呼吸の準備をする",none
communication,声に出して読む,2018-01-14,"日記を読む
その場にいる人達で円卓を囲み、順番に数字を数える",none
create,破壊,2018-01-22,"何かを壊したり割ったりしたい",http://vg.pe.hu/up/memories/sexy/
image,水に石を落とす,2018-01-24,"水に石を落とす映像を撮る",none
challenge,keta fes,2018-02-24,"やったことないことに挑戦する
・ビリーズブートキャンプ
・両手手放しで自転車に乗る
・バイトに応募
など",none
communication,chotto crazy,2018-02-25,"声に出してめりすを読む
面接
サイファー
など",none
communication,俳句,2018-03-05,"特定の時間にウェブサイトに集まって、俳句を詠む時間を作りたい",http://vg.pe.hu/up/reading/haiku/
challenge,chotto crazy 2 B,2018-03-18,"アンティークの西洋のテーブルゲームで遊んでみたい
屋上でオペラがしたい
巨大な餃子を作りたい
など",none
challenge,ギャルになろう,2018-08-19,"ギャルの精神を胸に一日を過ごす",https://www.instagram.com/p/BmsSLmfFj8o/?utm_source=ig_web_copy_link
sports,バスケがしたい,2018-09-16,"八幡屋公園でバスケしました",none
create,壁を壊す,2018-09-22,"部屋を分担するコンクリートの壁を壊してステージにしました",https://www.instagram.com/p/BoFkieWB_4_/?utm_source=ig_web_copy_link
challenge,#magicringmakefriendship,2018-10-20,"マジックリングでムーブメントを起こしたい",http://newlifecollection.com/ca1/3/p-r1-s/
music,secret show,2018-10-27,"完成した歌を人前で初めて歌う",https://www.instagram.com/p/BpcMWPcBcvP/?utm_source=ig_web_copy_link
challenge,全員リリパ,2018-12-02,"笛で会話する
泥団子を作る
#magicringmakefriendship
など",http://vg.pe.hu/jp/show/riripa.html
challenge,Go Out,2019-02-15 -,"なるべく、これまでに通ったことのない知らない道を選ぶことを心がける",none
challenge,白湯をゆっくり飲む,2019-02-27,"一杯の白湯を１０分くらいかけてゆっくり贅沢に味わう。
湯を沸かす器具や、飲む器などベストな状態で白湯を飲む方法を追求する。",none
create,凧上げをしよう,2019-03-02,"空に扉が浮かんでいる夢をみた。
扉の形をした凧を作って空に飛ばせばきっと同じものが見れるかもしれないと思った。",none
communication,世界中の言葉を使う,2019-03-08,"英語だけで会話しながらトランプで遊ぶ会",none
create,靴下ハギレの会,2019-03-13,"靴下ハギレのマットを買いました。
程よい弾力があり、座っても膝が痛くなく、沈まないので立ち上がるのも楽です。
色々な色が混じっていてかわいくて、おばあちゃんの部屋にいるみたいな気持ちになります。

編むのは簡単なようなので、自分の好きな色合いや、大きさにできると思うのでぜひみんなで作ってみませんか。",none
challenge,使ってないもの使ってみる,2019-03-22,"買ったけど使っていない物を持ち寄って使ってみる。",none
create,彫刻刀で銃作る,2019-04-08,"角材を彫刻刀で彫り、相棒となるmy銃を作りたい。",none
